frame_number,filename,timestamp_sec,predicted_emotion,confidence,prob_Angry,prob_Disgusted,prob_Fearful,prob_Happy,prob_Neutral,prob_Sad,prob_Surprised
0,0001.jpg,0.0,Angry,0.16562381,0.16562381,0.16467936,0.13783903,0.13634074,0.13690989,0.13887681,0.1197303
1,0002.jpg,0.2,Angry,0.166992,0.166992,0.16344999,0.13854605,0.13285801,0.1372993,0.1398576,0.12099696
2,0003.jpg,0.4,Disgusted,0.1671458,0.16303079,0.1671458,0.13675031,0.13442418,0.14022788,0.13649912,0.12192187
3,0004.jpg,0.6,Angry,0.16514651,0.16514651,0.16357815,0.13712813,0.13424829,0.13795179,0.13934219,0.12260496
4,0005.jpg,0.8,Disgusted,0.16579433,0.16437425,0.16579433,0.13428813,0.13297302,0.13483116,0.1461576,0.121581525
5,0006.jpg,1.0,Disgusted,0.16633639,0.1652245,0.16633639,0.13379122,0.13171834,0.13583465,0.14399546,0.12309956
6,0007.jpg,1.2,Angry,0.16707788,0.16707788,0.16171636,0.13448799,0.13316828,0.13674872,0.14395235,0.12284849
7,0008.jpg,1.4,Angry,0.16801223,0.16801223,0.16073592,0.13406126,0.1359363,0.13665792,0.14276417,0.121832214
8,0009.jpg,1.6,Angry,0.16413504,0.16413504,0.16409439,0.14124055,0.14122705,0.13330038,0.13205484,0.12394773
9,0010.jpg,1.8,Disgusted,0.16559634,0.16378295,0.16559634,0.14342563,0.13610572,0.13555437,0.13034438,0.12519059
10,0011.jpg,2.0,Angry,0.16662681,0.16662681,0.16104612,0.13935274,0.13481216,0.13776211,0.13714664,0.12325343
11,0012.jpg,2.2,Angry,0.1673639,0.1673639,0.16306958,0.13811737,0.13528986,0.13541229,0.13893425,0.12181276
12,0013.jpg,2.4,Angry,0.16614743,0.16614743,0.16132651,0.13727267,0.13542973,0.13250144,0.14620963,0.121112585
13,0014.jpg,2.6,Angry,0.16655253,0.16655253,0.16380712,0.13871816,0.13625722,0.13681324,0.13587633,0.12197541
14,0015.jpg,2.8,Angry,0.16676421,0.16676421,0.16180578,0.1380792,0.1342547,0.13808297,0.13834415,0.12266909
15,0016.jpg,3.0,Angry,0.16776322,0.16776322,0.16251773,0.13620818,0.13375206,0.139216,0.1380816,0.12246114
16,0017.jpg,3.2,Angry,0.16566092,0.16566092,0.16492492,0.135214,0.13591294,0.13930285,0.13660009,0.12238433
17,0018.jpg,3.4,Angry,0.16430071,0.16430071,0.16410747,0.13706918,0.13630232,0.13916282,0.13468558,0.12437194
18,0019.jpg,3.6,Angry,0.16391446,0.16391446,0.16384889,0.13834144,0.13550347,0.1399133,0.13427846,0.12419998
19,0020.jpg,3.8,Angry,0.16511494,0.16511494,0.16493729,0.13874461,0.13524336,0.13826524,0.13417639,0.12351823
20,0021.jpg,4.0,Disgusted,0.16524807,0.16510318,0.16524807,0.1385394,0.13361755,0.13802399,0.13589531,0.12357254
21,0022.jpg,4.2,Angry,0.16558343,0.16558343,0.16425146,0.13857685,0.13541512,0.1375581,0.13509244,0.1235226
22,0023.jpg,4.4,Angry,0.1659191,0.1659191,0.1643383,0.13830851,0.13400467,0.1388369,0.13502528,0.12356725
23,0024.jpg,4.6,Angry,0.16520438,0.16520438,0.16392179,0.13841754,0.13590476,0.138619,0.13476278,0.12316974
24,0025.jpg,4.8,Angry,0.16660711,0.16660711,0.1632364,0.13686953,0.13552848,0.13835956,0.13847393,0.12092502
25,0026.jpg,5.0,Angry,0.16620421,0.16620421,0.16250943,0.13577716,0.13524508,0.13902028,0.14035308,0.120890744
26,0027.jpg,5.2,Angry,0.16601276,0.16601276,0.16371396,0.13666122,0.13377687,0.13906106,0.13962293,0.12115117
27,0028.jpg,5.4,Angry,0.16656661,0.16656661,0.16207282,0.13585062,0.13508421,0.14000061,0.13858545,0.121839724
28,0029.jpg,5.6,Angry,0.16624536,0.16624536,0.16239604,0.13622543,0.13427109,0.14041774,0.13872154,0.12172278
29,0030.jpg,5.8,Disgusted,0.16654989,0.16480571,0.16654989,0.13502444,0.13265531,0.13963795,0.13906857,0.122258075
30,0031.jpg,6.0,Angry,0.1655765,0.1655765,0.16498649,0.13610011,0.13306846,0.1401876,0.13748679,0.122594066
31,0032.jpg,6.2,Angry,0.16481073,0.16481073,0.16290861,0.14111334,0.13466951,0.14158502,0.13233064,0.12258216
32,0033.jpg,6.4,Angry,0.1658686,0.1658686,0.16369735,0.13912246,0.13527808,0.13834184,0.13394204,0.12374957
33,0034.jpg,6.6,Angry,0.1668406,0.1668406,0.16515128,0.13758732,0.13521525,0.13822854,0.1342787,0.12269822
34,0035.jpg,6.8,Disgusted,0.16541456,0.1652426,0.16541456,0.13951068,0.13492174,0.13846606,0.13206437,0.12438002
35,0036.jpg,7.0,Angry,0.16744463,0.16744463,0.1636537,0.13820384,0.13678373,0.13809125,0.13283561,0.122987315
36,0037.jpg,7.2,Angry,0.16631861,0.16631861,0.1631186,0.13752256,0.13430429,0.1387835,0.13761058,0.122341864
37,0038.jpg,7.4,Angry,0.16494432,0.16494432,0.16357054,0.13756439,0.13706492,0.1382301,0.13663247,0.12199333
38,0039.jpg,7.6,Angry,0.16469556,0.16469556,0.16393587,0.13820174,0.13655472,0.13870753,0.13541476,0.12248982
39,0040.jpg,7.8,Angry,0.16495483,0.16495483,0.16348486,0.13766877,0.13644862,0.13879557,0.13591354,0.12273381
40,0041.jpg,8.0,Disgusted,0.16468437,0.1640817,0.16468437,0.13867301,0.13409716,0.14050622,0.1338516,0.12410592
41,0042.jpg,8.2,Angry,0.16417944,0.16417944,0.16405264,0.13974136,0.13500525,0.13969932,0.13260312,0.12471891
42,0043.jpg,8.4,Angry,0.16361164,0.16361164,0.16334209,0.14084686,0.13434342,0.13900392,0.13402165,0.124830425
43,0044.jpg,8.6,Angry,0.164601,0.164601,0.16350137,0.13897488,0.13616668,0.13904531,0.13464175,0.12306901
44,0045.jpg,8.8,Angry,0.16588308,0.16588308,0.16498211,0.13614096,0.13126582,0.14076053,0.13842112,0.12254634
45,0046.jpg,9.0,Angry,0.16852903,0.16852903,0.16112962,0.13540898,0.13110526,0.13859548,0.14591576,0.119315885
46,0047.jpg,9.2,Angry,0.16901293,0.16901293,0.16172294,0.13550602,0.13113381,0.1383276,0.14478451,0.11951222
47,0048.jpg,9.4,Angry,0.16809444,0.16809444,0.16196005,0.13603216,0.13149147,0.13874742,0.14408721,0.11958735
48,0049.jpg,9.6,Angry,0.16821626,0.16821626,0.16192162,0.1355448,0.13229372,0.13852125,0.14436294,0.11913952
49,0050.jpg,9.8,Angry,0.16870055,0.16870055,0.16220517,0.13577938,0.13187833,0.13843383,0.1437771,0.119225584
50,0051.jpg,10.0,Angry,0.16872944,0.16872944,0.16221459,0.13548894,0.13171789,0.13906386,0.1439005,0.11888484
51,0052.jpg,10.2,Angry,0.16887501,0.16887501,0.16186629,0.13427491,0.13203236,0.13918088,0.14459082,0.11917969
52,0053.jpg,10.4,Angry,0.16702902,0.16702902,0.16292882,0.13501365,0.13155033,0.13900878,0.14350763,0.120961756
53,0054.jpg,10.6,Angry,0.16629018,0.16629018,0.16511944,0.13480246,0.13240482,0.13990602,0.13984674,0.121630356
54,0055.jpg,10.8,Angry,0.16555296,0.16555296,0.16513436,0.13513957,0.13130426,0.14006424,0.14110678,0.12169793
55,0056.jpg,11.0,Angry,0.16656485,0.16656485,0.16296148,0.13604133,0.13185437,0.13823354,0.1434033,0.12094118
56,0057.jpg,11.2,Angry,0.1665438,0.1665438,0.16246618,0.13643426,0.13200973,0.13860309,0.14286196,0.121080935
57,0058.jpg,11.4,Angry,0.16642208,0.16642208,0.16151787,0.13567299,0.13286829,0.13891028,0.14472066,0.1198878
58,0059.jpg,11.6,Angry,0.16711164,0.16711164,0.16307463,0.13501506,0.13262938,0.1372182,0.14513224,0.11981882
59,0060.jpg,11.8,Angry,0.16363919,0.16363919,0.16342889,0.14087756,0.13500014,0.13809307,0.13367884,0.12528235
60,0061.jpg,12.0,Angry,0.16590148,0.16590148,0.16266307,0.14106141,0.13393006,0.13817994,0.13280196,0.12546203
61,0062.jpg,12.2,Angry,0.16446987,0.16446987,0.16386212,0.14148061,0.13451202,0.13690153,0.13302226,0.12575161
62,0063.jpg,12.4,Disgusted,0.16342151,0.16290285,0.16342151,0.14116144,0.13638306,0.13785714,0.13341549,0.124858476
63,0064.jpg,12.6,Angry,0.1640767,0.1640767,0.16293676,0.1411489,0.13496658,0.13760337,0.13358489,0.12568274
64,0065.jpg,12.8,Angry,0.16501918,0.16501918,0.16465236,0.13987017,0.13470234,0.13754769,0.13312478,0.12508354
65,0066.jpg,13.0,Angry,0.16427204,0.16427204,0.16361268,0.13880274,0.13552204,0.13841307,0.13384965,0.12552783
66,0067.jpg,13.2,Angry,0.16383226,0.16383226,0.16357854,0.13749878,0.13504261,0.1385512,0.13602205,0.12547447
67,0068.jpg,13.4,Angry,0.16480315,0.16480315,0.16210346,0.13928865,0.13662528,0.13812797,0.13395274,0.12509876
68,0069.jpg,13.6,Angry,0.1656261,0.1656261,0.16018362,0.14240001,0.13488874,0.13737044,0.13337931,0.1261518
69,0070.jpg,13.8,Angry,0.16623534,0.16623534,0.16562378,0.14201199,0.13362718,0.13415101,0.13309287,0.12525775
70,0071.jpg,14.0,Angry,0.16710897,0.16710897,0.16386682,0.14034158,0.13549955,0.13334814,0.13478409,0.12505081
71,0072.jpg,14.2,Angry,0.16600987,0.16600987,0.16374344,0.14153531,0.1356052,0.13400573,0.1339486,0.12515183
72,0073.jpg,14.4,Angry,0.16464737,0.16464737,0.15985847,0.1410738,0.1362205,0.13686125,0.13640209,0.12493655
73,0074.jpg,14.6,Angry,0.16492811,0.16492811,0.16097063,0.13946591,0.13609245,0.1375593,0.13635914,0.12462448
74,0075.jpg,14.8,Angry,0.16518322,0.16518322,0.16179807,0.13952206,0.13777387,0.13691956,0.1350549,0.12374836
75,0076.jpg,15.0,Angry,0.16571973,0.16571973,0.16074789,0.13855143,0.13947764,0.13648137,0.1362432,0.122778796
76,0077.jpg,15.2,Angry,0.166588,0.166588,0.16194744,0.13707256,0.1381079,0.13584901,0.13655612,0.12387899
77,0078.jpg,15.4,Angry,0.165183,0.165183,0.16447502,0.14049068,0.1347822,0.13549316,0.13496059,0.124615364
78,0079.jpg,15.6,Angry,0.16429313,0.16429313,0.16404335,0.14012176,0.13554592,0.13629813,0.13553375,0.12416394
79,0080.jpg,15.8,Angry,0.16687234,0.16687234,0.164616,0.1387254,0.13553162,0.13545485,0.13556428,0.123235576
80,0081.jpg,16.0,Angry,0.1660612,0.1660612,0.16415015,0.13832776,0.13710113,0.13581164,0.13540448,0.12314364
81,0082.jpg,16.2,Angry,0.16521402,0.16521402,0.164225,0.13859963,0.13737439,0.13622743,0.13465202,0.12370753
82,0083.jpg,16.4,Angry,0.1654415,0.1654415,0.1611295,0.14030406,0.13549043,0.13781948,0.13616176,0.12365328
83,0084.jpg,16.6,Angry,0.16563243,0.16563243,0.16213956,0.13808976,0.13573731,0.1376517,0.136753,0.12399619
84,0085.jpg,16.8,Angry,0.16494131,0.16494131,0.16264956,0.14125524,0.13523684,0.13679993,0.1350854,0.12403175
85,0086.jpg,17.0,Disgusted,0.16617888,0.16574374,0.16617888,0.13922131,0.1350076,0.13448463,0.1347478,0.124616034
86,0087.jpg,17.2,Angry,0.1657408,0.1657408,0.16495673,0.13925624,0.13525942,0.13589765,0.13441242,0.12447679
87,0088.jpg,17.4,Angry,0.16658628,0.16658628,0.16392796,0.13894948,0.13589776,0.13652013,0.13462412,0.12349428
88,0089.jpg,17.6,Angry,0.1660043,0.1660043,0.16235678,0.1394357,0.13520852,0.13766283,0.13608313,0.12324877
89,0090.jpg,17.8,Angry,0.16715512,0.16715512,0.16219631,0.1398703,0.13476576,0.13661443,0.1356735,0.12372462
90,0091.jpg,18.0,Angry,0.16659379,0.16659379,0.16386263,0.13912797,0.13488041,0.13674033,0.13506752,0.12372739
91,0092.jpg,18.2,Angry,0.16602512,0.16602512,0.16508733,0.13921061,0.13444002,0.13644502,0.1345911,0.124200866
92,0093.jpg,18.4,Angry,0.16528606,0.16528606,0.1630888,0.13891907,0.13720097,0.13778248,0.13441713,0.1233055
93,0094.jpg,18.6,Angry,0.16510572,0.16510572,0.16377443,0.13907021,0.13648148,0.13761324,0.13442947,0.123525426
94,0095.jpg,18.8,Disgusted,0.16493545,0.16407652,0.16493545,0.13959615,0.13607487,0.13770042,0.13424449,0.123372115
